fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,07,1,"JAMMU AND KASHMIR",622,KULGAM,IGNDPS,113,5,10,97,1,15,0,2024-07-30
2023-2024,07,1,"JAMMU AND KASHMIR",623,BANDIPORA,IGNDPS,108,1,16,91,0,63,12,2024-07-30
2023-2024,07,1,"JAMMU AND KASHMIR",625,SHOPIAN,IGNDPS,108,0,8,100,0,96,82,2024-07-30
2023-2024,07,1,"JAMMU AND KASHMIR",627,REASI,IGNDPS,28,1,11,16,0,28,0,2024-07-30
2023-2024,07,1,"JAMMU AND KASHMIR",7,KATHUA,IGNDPS,130,67,20,43,0,79,0,2024-07-30
2023-2024,07,10,BIHAR,192,BHAGALPUR,IGNDPS,2874,350,62,2324,138,1917,2252,2024-07-30
2023-2024,07,10,BIHAR,199,JEHANABAD,IGNDPS,378,62,15,223,78,239,225,2024-07-30
2023-2024,07,10,BIHAR,202,KHAGARIA,IGNDPS,1846,165,27,1453,201,1221,1495,2024-07-30
2023-2024,07,10,BIHAR,205,MADHEPURA,IGNDPS,9569,726,102,8386,355,6148,7358,2024-07-30
2023-2024,07,10,BIHAR,208,MUZAFFARPUR,IGNDPS,3652,689,15,2806,142,2600,3082,2024-07-30
2023-2024,07,10,BIHAR,211,"PASHCHIM CHAMPARAN",IGNDPS,5622,762,195,3988,677,3022,4111,2024-07-30
2023-2024,07,10,BIHAR,212,PATNA,IGNDPS,4219,535,67,3039,578,2201,2265,2024-07-30
2023-2024,07,10,BIHAR,224,VAISHALI,IGNDPS,3094,718,5,783,1588,2097,2542,2024-07-30
2023-2024,07,12,"ARUNACHAL PRADESH",230,"UPPER DIBANG VALLEY",IGNDPS,38,0,38,0,0,31,0,2024-07-30
2023-2024,07,12,"ARUNACHAL PRADESH",235,"LOWER DIBANG VALLEY",IGNDPS,101,0,99,2,0,81,12,2024-07-30
2023-2024,07,12,"ARUNACHAL PRADESH",237,"PAPUM PARE",IGNDPS,274,0,274,0,0,168,0,2024-07-30
2023-2024,07,12,"ARUNACHAL PRADESH",239,TIRAP,IGNDPS,163,0,163,0,0,85,0,2024-07-30
2023-2024,07,12,"ARUNACHAL PRADESH",240,"UPPER SIANG",IGNDPS,86,0,86,0,0,42,0,2024-07-30
2023-2024,07,12,"ARUNACHAL PRADESH",679,SIANG,IGNDPS,58,0,58,0,0,41,0,2024-07-30
2023-2024,07,14,MANIPUR,253,CHANDEL,IGNDPS,45,0,44,0,1,14,1,2024-07-30
2023-2024,07,14,MANIPUR,256,"IMPHAL WEST",IGNDPS,172,9,3,1,159,109,3,2024-07-30
2023-2024,07,14,MANIPUR,257,SENAPATI,IGNDPS,126,0,124,2,0,38,0,2024-07-30
2023-2024,07,15,MIZORAM,268,SERCHHIP,IGNDPS,49,0,45,4,0,32,29,2024-07-30
2023-2024,07,15,MIZORAM,728,KHAWZAWL,IGNDPS,20,0,20,0,0,11,7,2024-07-30
2023-2024,07,16,TRIPURA,270,"NORTH TRIPURA",IGNDPS,177,28,29,87,33,74,0,2024-07-30
2023-2024,07,18,ASSAM,284,DHEMAJI,IGNDPS,742,44,255,124,319,587,489,2024-07-30
2023-2024,07,18,ASSAM,301,SONITPUR,IGNDPS,1473,17,15,1380,61,815,717,2024-07-30
2023-2024,07,18,ASSAM,616,BAKSA,IGNDPS,1295,131,363,620,181,739,564,2024-07-30
2023-2024,07,18,ASSAM,705,BISWANATH,IGNDPS,888,39,58,725,66,532,118,2024-07-30
2023-2024,07,19,"WEST BENGAL",304,"24 PARGANAS SOUTH",IGNDPS,2029,396,53,1560,10,1909,1203,2024-07-30
2023-2024,07,19,"WEST BENGAL",310,"DINAJPUR DAKSHIN",IGNDPS,604,146,43,404,11,573,253,2024-07-30
2023-2024,07,19,"WEST BENGAL",314,JALPAIGURI,IGNDPS,788,290,56,421,21,735,492,2024-07-30
2023-2024,07,19,"WEST BENGAL",702,KALIMPONG,IGNDPS,368,42,109,217,0,358,336,2024-07-30
2023-2024,07,2,"HIMACHAL PRADESH",15,BILASPUR,IGNDPS,36,6,2,25,3,17,0,2024-07-30
2023-2024,07,2,"HIMACHAL PRADESH",24,SIRMAUR,IGNDPS,39,10,0,26,3,7,0,2024-07-30
2023-2024,07,20,JHARKHAND,322,BOKARO,IGNDPS,764,113,71,187,393,764,487,2024-07-30
2023-2024,07,20,JHARKHAND,323,CHATRA,IGNDPS,1498,353,17,405,723,1488,1036,2024-07-30
2023-2024,07,20,JHARKHAND,327,"PURBI SINGHBHUM",IGNDPS,694,41,164,331,158,690,311,2024-07-30
2023-2024,07,20,JHARKHAND,338,PALAMU,IGNDPS,1498,380,59,348,711,1454,272,2024-07-30
2023-2024,07,20,JHARKHAND,607,RAMGARH,IGNDPS,99,17,15,6,61,97,79,2024-07-30
